Trait Group,Trait Name,Trait Unit,Trait Definition,Trait motivation,organization,,,,
metabolism,maximum-metabolism,mgO2/kg/hr; µmol/g/hr; mgO2/kg/min; mgO2/g/hr; mgO2/kg/hr; mgO2/min/65g; µmol/ (min*g); mgO2/kg/hr,"The maximum rate of oxygen consumption measured following exhaustive exercise, sometimes mass adjusted",negative,internal,,,,"The maximum level of oxygen consumption observed after strenuous swimming activity by cod was taken as a measure of their active metabolic rate.   Unfed acclimated fish were chased witha net inside a large tank until they refused to move or to show any further response to the net. They were then transferred to a respirometer, and the peak oxygen consumption measured following the period of heavy exercise.   The rate of oxygen consumption of the cod increased after strenuous activity, reaching a peak generally 2 h later and remained high for maximum of 2-3 h, thereafter declining."
metabolism,aerobic-scope,mgO2/kg/hr; mgO2/kg/min; µmol/g/hr; mgO2/min; mgO2/g/hr; mgO2/min/65g; µmol/ (min*g); µmol/min/g; mg/h; mL/hr; mgO2/kg/hr; mgO2/hr; mgO2/kg/hr,"The difference between the maximum (active) metabolic rate and the standard (resting) metabolic rate of an individual, representing the total capacity for aerobic activity above maintenance metabolism. Sometimes mass adjusted",voluntary,internal,,,,NA
metabolism,excess-post-excercise-oxygen-consumption,mg/kg,The total oxygen consumed above the pre-exercise baseline during recovery following exhaustive exercise,voluntary,internal,,,,"The fish were placed in the respirometer chamber and were allowed to acclimate for 1 day before the experiment. The preexercise MO2 was then measured. The fish were removed from the chambers and exercised by chasing them manually for 5–10 min until they were exhausted in a circular container (the outside diameter was 104 cm, and the inside diameter was 56 cm; the maximal water speed was approximately 80 cm s-1). Following exercise, the fish were returned to the chambers. The MO2 was measured at 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 and 60 min post-exercise. The pre-exercise MO2 was defined as the oxygen consumption before exercise; the MO2peak was defined as the observed maximum MO2 during the exercise recovery process; duration was defined as the time from exercise to when post-exercise MO2 was not significantly different from pre-exercise MO2; and the EPOC magnitude was determined to be the excess oxygen consumption above the pre-exercise MO2 during the recovery process. When the first EPOC (EPOC1) was complete, fish was chased individually to exhaustive again, and the second EPOC (EPOC2) was immediately measured. Therefore, the recovery period of EPOC2 was also 60 min. The same method that was used for EPOC1 was used for EPOC1"
metabolism,mitochondrial-respiration,ratio,"Rate at which mitochondria consume oxygen to support electron transport and ATP production, reported as a ratio of consumed o2/produced ATP",autonomic,internal,,,,"treated with difference co2 concentrations during egg stage, then grew in different temperatures "
metabolism,repeat-excess-post-excercise-oxygen-consumption,mg/kg,The total oxygen consumed above pre-exercise levels during recovery following a second exhaustive exercise bout directly after the first,negative,internal,,,,"The fish were placed in the respirometer chamber and were allowed to acclimate for 1 day before the experiment. The preexercise MO2 was then measured. The fish were removed from the chambers and exercised by chasing them manually for 5–10 min until they were exhausted in a circular container (the outside diameter was 104 cm, and the inside diameter was 56 cm; the maximal water speed was approximately 80 cm s-1). Following exercise, the fish were returned to the chambers. The MO2 was measured at 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55 and 60 min post-exercise. The pre-exercise MO2 was defined as the oxygen consumption before exercise; the MO2peak was defined as the observed maximum MO2 during the exercise recovery process; duration was defined as the time from exercise to when post-exercise MO2 was not significantly different from pre-exercise MO2; and the EPOC magnitude was determined to be the excess oxygen consumption above the pre-exercise MO2 during the recovery process. When the first EPOC (EPOC1) was complete, fish was chased individually to exhaustive again, and the second EPOC (EPOC2) was immediately measured. Therefore, the recovery period of EPOC2 was also 60 min. The same method that was used for EPOC1 was used for EPOC1"
metabolism,routine-metabolism,mL/hr; µmol/g/hr; mgO2/g/hr,"The rate of oxygen consumption of an organism under typical, unstressed conditions that allow normal activity, reflecting energy use for routine physiological processes.",autonomic,internal,,,,Routine metabolic rate was assessed prior to burst swimming speed to minimise stress and to reduce error in metabolic rate samples. Fish were placed in darkened (black plastic covered) 350-mL respirometers for 1 h within a water bath set at the daily test temperature prior to the start of testing to allow the fish’s metabolic rates to stabilise. Oxygen consumption was then measured in the following hour using a PreSens Fibox 4 (POF-L2.5-1). A polymer optical fibre and oxygen minisensor spots (batch ID—140117-001) were used to measure the decrease in per cent air saturation within the respirometer. Control measures were taken from respirometers full of sea water (no fish) to detect for any microorganism metabolic activity or oxygen production occurring within the testing water that may affect results. 
metabolism,routine-metabolism-ramping,mgO2/g/hr,The rate of oxygen consumption of an organism under routine activity levels while experiencing a consistent gradual change in temperature.,autonomic,internal,,,,"After SMR measurement, each fish underwent a thermal ramping test starting from its acclimation temperature. Water temperature was increased at 4 °C h⁻¹ and monitored continuously. At every 1 °C increment, routine metabolic rate (RMR) was measured over a 3–5 min cycle. Ramping continued until loss of equilibrium for ≥10 s"
metabolism,scope-for-growth,J/day,"The net energy available for growth in an individual, calculated as the difference between energy absorbed from food and energy expended through metabolism",voluntary,internal,,,,NA
metabolism,specific-daily-metabolic-demand,%bodywt/day,"The daily energy requirement of an individual fish, expressed relative to body mass (% body weight per day).",autonomic,internal,,,,NA
metabolism,resting-metabolism,mgO2/g/hr; mgO2/kg/hr; µmol/ (min*g); nmol/ind/hr; mgO2/kg/min; mgO2/kg^0.79/hr; mgO2/min/65g,"The minimum oxygen consumption rate of an inactive, post-absorptive fish, calculated as the mean of the lowest 10–20% of stable MO₂ measurements recorded after full recovery from handling or exercise",autonomic,internal,,,,"Following the growth trial, each fish underwent automated intermittent-flow respirometry to measure oxygen consumption (ṀO₂). Four fish were tested simultaneously; measurements occurred over ~20 h per run, with cycling of temperature treatments to minimize timing biases. ṀO₂ was calculated from declines in chamber O₂ concentration during 4–8 min measurement cycles, with 1-min flush periods maintaining >80% air saturation. After MMR measurements, fish remained in chambers overnight (>16 h). SMR was calculated as the mean of the lowest 10% of ṀO₂ values, using only measurement cycles with R² > 0.95 for O₂ decline."
