species_ID,phylum,class,order,family,genus,species,subspecies,common_name,habitat,water,IUCN-status-global,COSEWIC-status,species_notes
SP29,chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,maximus,,turbot,,,LC,,"""commercially important"" (Aydın et al., 2021)"
SP72,n/a,n/a,n/a,n/a,Siganus,rivulatus,,spinefoot-rabbitfish,,,,,
SP1,chordata,Actinopterygii,Siluriformes,siluridae,silurus,meridionalis,,chinese-large-mouth-catfish,river,freshwater,LC,,
SP10,chordata,Actinopterygii,Centrarchiformes,Percichthyidae,Siniperca,knerii,,big-eye-mandarin-fish,,,DD,,"""essential economic fish"" "
SP48,chordata,Actinopterygii,Cypriniformes,Cyprinidae,Spinibarbus,sinensis,,qingbo,river,freshwater,,,
SP7,chordata,Actinopterygii,Clupeiformes,Clupeidae,sprattus,sprattus,,European-sprat,ocean,marine,LC,,
SP2,chordata,Actinopterygii,Tetraodontiformes,tetraodontidae,takifugu,rubripes,,tiger-puffer,ocean,marine,NT,,
SP81,,,,,Taurulus,bubalis,,long-spined sea scorpion,,,,,
SP27,chordata,Actinopterygii,Perciformes,Labrideae,tautogolabrus,adspersus,,cunner,,,LC,,
SP43,chordata,Actinopterygii,Carangiformes,Carangidae,Trachurus,japonicus,,jack-mackerel,,,NT,,
SP11,,,,,,,,,,,,,
,,,,,,,,,,,,,
SP94,,,,,Anarhichas,lupus,,atlantic-wolffish,ocean,marine,,,"inhabit rocky bottoms, and areas with soft or mixed substratum"
SP95,,,,,Prosopium,williamsoni,,mountain-whitefish,river,freshwater,,,
SP96,,,,,Gadopsis,marmoratus,,river-blackfish,river,freshwater,,,
SP97,,,,,Gadopsis,bispinosus,,two-spined-blackfish,river,freshwater,,,
SP98,,,,,Oncorhynchus,gorbuscha,,pink-salmon,river,freshwater,,,
SP99,,,,,Barbus,barbus,,barbel,river,freshwater,,,
SP100,,,,,Anoplopoma,fimbria,,sablefish,,,,,
SP101,,,,,Ictalurus,furcatus,,blue-catfish,river,freshwater,,,
SP102,,,,,Gasterosteus,aculeatus,,three-spined stickleback,,,,,
SP103,,,,,Channa,striatus,,striped-snakehead,,freshwater,,,
SP104,,,,,Cyprinus,carpio,var. communis,common-carp,,freshwater,,,
SP105,,,,,Centropristis ,striata,,black-sea-bass,,marine,,,
SP106,,,,,Oreochromis,mossambicus,,Mozambique-tilapia,,,,,
SP107,,,,,Chelon,labrosus,,thicklip-grey-mullet,,,,,
SP108,,,,,Trematomus,bernacchii,,emerald-rockcod,,marine,,,
SP109,,,,,Trematomus,pennellii,,sharp-spined-notothenia,,marine,,,
SP110,,,,,Lophius,litulon,,yellow-goosefish,,marine,,,
SP111,,,,,Dascyllus,melanurus,,four-striped-damselfish,reef,marine,,,
SP112,,,,,Chromis ,atripectoralis,,black-axil-chromis,reef,marine,,,
SP113,,,,,Pomacentrus,moluccensis,,lemon-damsel,reef,marine,,,
SP114,,,,,Zoramia,leptacantha,,threadfin-cardinalfish,reef,marine,,,
SP115,,,,,Cheilodipterus,quinquelineatus,,five-lined-cardinalfish,reef,marine,,,
SP116,,,,,Abramis,brama,,freshwater-bream,,freshwater,,,
SP117,,,,,Oreochromis,esculentus,,,,,,,
SP118,,,,,Catostomus,commersonii,,white-sucker,lake,freshwater,,,benthic
SP119,,,,,Salvelinus,malma,,Dolly-varden,,,,,
SP120,,,,,Poecilia,reticulata,,guppie,,brackish,,,
SP121,,,,,Gymnodraco,acuticeps,,,,,,,
SP122,,,,,Lates,niloticus,,nile-perch,,freshwater,,,
SP123,,,,,Dentex,dentex,,common dentex,,marine,,,
SP124,,,,,Zoarces,vivparus,,common eelpout,,marine,,,
SP125,,,,,Sarpa,salpa,,native salema,,,,,
SP126,,,,,Sander,vitreus,,,,,,,
SP127,,,,,Triakis,semifasciata,,leopard shark,,,,,
SP128,,,,,Pomatomus,saltatrix,,bluefish,,,,,
SP129,,,,,Forsterygion,lapillum,,triplefin-fish,,,,,
SP130,,,,,Mylopharodon,conocephalus,,hardhead,,,,,
SP131,,,,,Micropogonias,undulatus,,atlantic-croaker,,,,,
SP132,,,,,Leiostomus,xanthurus,,spot,,,,,
SP133,,,,,Etheostoma,fonticola,,fountain-darter,,,,,
SP134,,,,,Amphistichus,argenteus,,barred-surfperch,,,,,
SP135,,,,,Ptychocheilus,oregonensis,,northern-squawfish,,,,,
SP136,,,,,Micropterus,salmoides,,largemouth-bass,,,,,
